Section - Id,Fault - Location,Phase - Conductor,Dist - kFt,Phase - Config,Nominal - kV,Symmetrical Amps - LG Min,Symmetrical Amps - LG Max,Symmetrical Amps - LL,Symmetrical Amps - LLG,Symmetrical Amps - 3Ph,Cumulative Impedance (Ohms) - R1,Cumulative Impedance (Ohms) - X1,Cumulative Impedance (Ohms) - R0,Cumulative Impedance (Ohms) - X0,Asymmetrical Amps - LG Min,Asymmetrical Amps - LG Max,Asymmetrical Amps - LL,Asymmetrical Amps - LLG,Asymmetrical Amps - 3Ph Avg,Asymmetrical Amps - 3Ph Max
0971595_0971596,P216973 TO P192674,3-#6_CU_B,43.63, BCN,12,137,425,564,581,---,8.0572,6.9512,10.3772,27.2248,137,478,578,653,---,---
0971595_0971609,P216973 TO P217888,3-#6_CU_B,43.37, BCN,12,137,428,570,587,---,7.948,6.9087,10.2539,27.074,137,482,585,661,---,---
0971596_0971597,P192674 TO P216974,3-#6_CU_B,43.82, BCN,12,136,422,560,577,---,8.136,6.982,10.4662,27.3335,136,475,574,648,---,---
0971597_0971598,P216974 TO P612760,3-#6_CU_B,44.17, BCN,12,136,418,552,569,---,8.2821,7.0389,10.6311,27.5351,136,469,566,638,---,---
0971598_0971599,P612760 TO P216975,3-#6_CU_B,44.37, BCN,12,136,416,548,565,---,8.3666,7.0719,10.7265,27.6518,136,465,561,632,---,---
0971599_0971600,P216975 TO P216976,3-#6_CU_B,44.69, BCN,12,135,412,541,558,---,8.5001,7.1239,10.8773,27.8362,135,460,554,624,---,---
0971600_0971601,P216976 TO P216977,3-#6_CU_B,45.04, BCN,12,135,408,534,551,---,8.6483,7.1817,11.0447,28.0408,135,455,546,614,---,---
0971601_0971602,P216977 TO P216978,3-#6_CU_B,45.42, BCN,12,134,403,526,543,---,8.8048,7.2428,11.2214,28.2567,134,449,538,605,---,---
0971602_0971603,P216978 TO P216979,3-#6_CU_B,45.62, BCN,12,134,401,522,539,---,8.889,7.2756,11.3164,28.3729,134,446,533,600,---,---
0971603_0971604,P216979 TO P717019,3-#2_AL_B,45.91, BCN,12,134,398,518,535,---,8.967,7.3212,11.4103,28.5395,134,443,529,595,---,---
0971604_0971605,P717019 TO P817420,3-#2_AL_B,46.06, BCN,12,134,397,516,533,---,9.0071,7.3446,11.4585,28.6251,134,441,527,592,---,---
0971605_0971606,P817420 TO P717020,3-#2_AL_B,46.21, BCN,12,133,395,514,531,---,9.0459,7.3672,11.5051,28.7079,133,439,525,590,---,---
0971606_0971607,P717020 TO P717021,3-#2_AL_B,46.52, BCN,12,133,393,510,527,---,9.129,7.4158,11.605,28.8853,133,436,521,585,---,---
0971607_0971608,P717021 TO P813788,3-#2_AL_B,46.76, BCN,12,133,390,507,523,---,9.1948,7.4542,11.6841,29.0257,133,433,517,581,---,---
0971609_0971610,P217888 TO P217889,3-#6_CU_B,43.77, BCN,12,136,423,561,578,---,8.1149,6.9737,10.4423,27.3044,136,475,575,649,---,---
0971610_0971611,P217889 TO P713418,3-#2_AL_B,44.06, BCN,12,136,420,556,573,---,8.1937,7.0198,10.5371,27.4727,136,472,570,644,---,---
0971610_0971613,P217889 TO P217890,3-#6_CU_B,44.07, BCN,12,136,419,554,571,---,8.2431,7.0237,10.5871,27.4813,136,470,568,641,---,---
0971611_0971612,P713418 TO P713419,3-#2_AL_B,44.26, BCN,12,136,418,553,570,---,8.2477,7.0513,10.602,27.588,136,469,567,640,---,---
0971614A_0971615,P111597 TO P111598,3-#6_CU_C,41.42,ABCN,12,140,455,618,636,714,7.1346,6.5806,9.3354,25.9747,140,519,638,725,726,737
0971615_0971616,P111598 TO P111599,3-#6_CU_C,41.72,ABCN,12,139,451,610,628,705,7.2591,6.6278,9.476,26.1496,139,513,630,715,716,727
0971616_0971617,P111599 TO P111600,3-#6_CU_C,42.05,ABCN,12,139,446,602,620,695,7.3967,6.6799,9.6314,26.3428,139,506,620,704,706,716
0971617_0971618,P111600 TO P111601,3-#6_CU_C,42.25,ABCN,12,138,443,597,615,689,7.4789,6.7111,9.7242,26.4583,138,503,615,697,700,710
0971618_0971619,P111601 TO P111602,3-#6_CU_C,42.46,ABCN,12,138,440,592,610,684,7.5664,6.7442,9.8229,26.5811,138,499,609,690,693,703
0971619_0971620,P111602 TO P103311,3-#6_CU_B,42.62, BCN,12,138,438,588,605,---,7.6345,6.7708,9.8999,26.6751,138,496,605,685,---,---
0971619_0971621,P111602 TO P118663,3-#2_AL_C,42.76,ABCN,12,138,437,587,604,677,7.6483,6.7908,9.9215,26.7591,138,494,603,684,687,697
0971621_0971622,P118663 TO P118664,3-#6_CU_C,43.02,ABCN,12,138,433,581,598,670,7.7553,6.8313,10.0423,26.9094,138,490,597,676,680,689
0971622_0971623,P118664 TO P118665,3-#6_CU_C,43.31,ABCN,12,137,430,574,591,662,7.8791,6.8782,10.182,27.0831,137,484,589,666,671,680
0971623_0971624,P118665 TO P118666,3-#6_CU_C,43.77,ABCN,12,137,424,563,581,651,8.0693,6.9503,10.3968,27.3503,137,477,578,653,659,667
0971624_0971625,P118666 TO P118667,3-#6_CU_C,44.03,ABCN,12,136,421,558,575,644,8.1763,6.9909,10.5177,27.5006,136,472,572,646,652,660
0971625_0971626,P118667 TO P417986,3-#4_CU_B,44.54,AB N,12,136,415,550,567,---,8.3117,7.0721,10.681,27.7947,136,466,563,636,---,---
0971625_0971641,P118667 TO P118668,3-#6_CU_C,44.32,ABCN,12,136,417,551,568,637,8.2988,7.0373,10.656,27.6725,136,467,565,637,644,652
